,MSE_Train,MSE_Test,R2_Train,R2_Test
Linear Regression,139.34270508519592,130.590204440129,0.8042126429112089,0.6629935145556294
Random Forest,20.123314170040487,605.2981289719626,0.9717251757470134,-0.5620573990633144
XGBoost,0.012892466427362572,909.2251357636839,0.999981885080194,-1.3463840093908428
